,eventTimeStart,eventTimeEnd,latStart,lonStart,latEnd,lonEnd
676,2017-05-24 13:04:31,2017-05-24 13:04:35,47.409291,8.546942,47.423743,8.555213
154,2017-05-24 13:04:41,2017-05-24 13:04:43,47.409291,8.546942,47.423743,8.555213
542,2017-05-24 13:04:45,2017-05-24 13:04:45,47.409291,8.546942,47.423743,8.555213
543,2017-05-24 13:05:10,2017-05-24 13:05:12,47.409291,8.546942,47.423743,8.555213
760,2017-05-24 13:05:15,2017-05-24 13:05:18,47.409291,8.546942,47.423743,8.555213
1227,2017-05-24 13:05:19,2017-05-24 13:05:19,47.409291,8.546942,47.423743,8.555213
1174,2017-05-24 13:05:20,2017-05-24 13:05:22,47.409291,8.546942,47.423743,8.555213
382,2017-05-24 13:05:23,2017-05-24 13:05:25,47.409291,8.546942,47.423743,8.555213
770,2017-05-24 13:05:30,2017-05-24 13:05:31,47.409291,8.546942,47.423743,8.555213
1317,2017-05-24 13:05:41,2017-05-24 13:05:44,47.409291,8.546942,47.423743,8.555213
96,2017-05-24 13:05:51,2017-05-24 13:05:52,47.409291,8.546942,47.423743,8.555213
1028,2017-05-24 13:05:57,2017-05-24 13:05:57,47.409291,8.546942,47.423743,8.555213
368,2017-05-24 13:06:03,2017-05-24 13:06:04,47.409291,8.546942,47.423743,8.555213
234,2017-05-24 13:06:06,2017-05-24 13:06:10,47.409291,8.546942,47.423743,8.555213
1516,2017-05-24 13:06:21,2017-05-24 13:06:22,47.409291,8.546942,47.423743,8.555213
1209,2017-05-24 13:06:44,2017-05-24 13:06:46,47.409291,8.546942,47.423743,8.555213
1441,2017-05-24 13:06:51,2017-05-24 13:06:56,47.409291,8.546942,47.423743,8.555213
807,2017-05-24 13:06:57,2017-05-24 13:06:59,47.409291,8.546942,47.423743,8.555213
441,2017-05-24 13:07:01,2017-05-24 13:07:04,47.409291,8.546942,47.423743,8.555213
544,2017-05-24 13:07:07,2017-05-24 13:07:09,47.409291,8.546942,47.423743,8.555213
704,2017-05-24 13:07:11,2017-05-24 13:07:12,47.409291,8.546942,47.423743,8.555213
321,2017-05-24 13:07:13,2017-05-24 13:07:14,47.409291,8.546942,47.423743,8.555213
97,2017-05-24 13:07:17,2017-05-24 13:07:20,47.409291,8.546942,47.423743,8.555213
1424,2017-05-24 13:07:21,2017-05-24 13:07:22,47.409291,8.546942,47.423743,8.555213
761,2017-05-24 13:07:24,2017-05-24 13:07:25,47.409291,8.546942,47.423743,8.555213
112,2017-05-24 13:07:40,2017-05-24 13:07:41,47.409291,8.546942,47.423743,8.555213
1007,2017-05-24 13:07:54,2017-05-24 13:07:56,47.409291,8.546942,47.423743,8.555213
1366,2017-05-24 13:07:57,2017-05-24 13:07:57,47.409291,8.546942,47.423743,8.555213
1374,2017-05-24 13:08:15,2017-05-24 13:08:16,47.409291,8.546942,47.423743,8.555213
1468,2017-05-24 13:08:16,2017-05-24 13:08:19,47.409291,8.546942,47.423743,8.555213
630,2017-05-24 13:08:21,2017-05-24 13:08:22,47.409291,8.546942,47.423743,8.555213
803,2017-05-24 13:08:24,2017-05-24 13:08:25,47.409291,8.546942,47.423743,8.555213
1517,2017-05-24 13:08:28,2017-05-24 13:08:30,47.409291,8.546942,47.423743,8.555213
1285,2017-05-24 13:08:32,2017-05-24 13:08:34,47.409291,8.546942,47.423743,8.555213
1398,2017-05-24 13:08:34,2017-05-24 13:08:35,47.409291,8.546942,47.423743,8.555213
408,2017-05-24 13:08:38,2017-05-24 13:08:39,47.409291,8.546942,47.423743,8.555213
